Application Date,Case Number,Address,Latitude,Longitude,CD#,Community Plan Area,Project Description,Request Type,Applicant Contact
1/21/2015,DIR-2015-318-CWC,4985 N SYCAMORE TER 90042,34.105198,-118.203126,1,Northeast Los Angeles,"PURSUANT TO LAMC 12.20.3 I CONFORMING WORK ON A CONTRIBUTING ELEMENT IN THE HIGHLAND PARK-GARVANZA HPOZ TO INSTALL SOLAR PANELS ON THE REAR WEST ROOF TO AN EXISTING 2-STORY 2,071 SQUARE-FOOT CRAFTSMAN",CWC-CONFORMING WORK CONTRIBUTING ELEMENTS,STEPHANIE MORA (310)955-6576
1/14/2015,DIR-2015-239-DRB-SPP-MSP,2430 N BOWMONT DR 90210,34.115746,-118.3994304,4,Bel Air - Beverly Crest,ADDITION AND REMODEL TO/OF EXISTING 2-STY SFD,DRB-DESIGN REVIEW BOARD,MOISES CONTREREAS - VERTOCH DESIGN ARCHITECTS (319)829-6051
1/14/2015,ENV-2015-240-CE,2430 N BOWMONT DR 90210,34.115746,-118.3994304,4,Bel Air - Beverly Crest,ADDITION AND REMODEL TO/OF EXISTING 2-STY SFD,CE-CATEGORICAL EXEMPTION,MOISES CONTREREAS - VERTOCH DESIGN ARCHITECTS (319)829-6051
1/23/2015,ZA-2015-366-ZAD,1540 N SKYLARK LANE 90069,34.09892,-118.387839,4,Hollywood,"DEMOLITION OF AN EXISTING SFD AND CONSTRUCTION OF A NEW SFD ON A LOT FRONTING A SUBSTANDARD HILLSIDE LIMITED STREET THAT IS IMPROVED WITH ROADWAY WIDTHS OF LESS THAN 20 FT., IN THE RE15-1-H ZONE.",ZAD-ZA DETERMINATION (PER LAMC 12.27),JOHN J. PARKER (805)388-3355
1/21/2015,AA-2015-320-COC,NONE NONE 47466,44.9400562,7.5299328,14,Boyle Heights,LEGALIZE TWO PARCELS SUBDIVIDED BY UNION PACIFIC RAILROAD BY LEGAL DESCRIPTIONS IN GRANT DEED RECORDED AS INSTRUMENT NO. 20141072393 OF OFFICIAL RECORDS ON 10/10/2014.,COC-CERTIFICATE OF COMPLIANCE,"OFER SHAPIRA - SURVEYING & DRAFTING SERVICES, INC. (323)366-2882"
1/21/2015,ENV-2015-322-CE,NONE NONE 47466,44.9400562,7.5299328,14,Boyle Heights,LEGALIZE TWO PARCELS SUBDIVIDED BY UNION PACIFIC RAILROAD BY LEGAL DESCRIPTIONS IN GRANT DEED RECORDED AS INSTRUMENT NO. 20141072393 OF OFFICIAL RECORDS ON 10/10/2014.,CE-CATEGORICAL EXEMPTION,"OFER SHAPIRA - SURVEYING & DRAFTING SERVICES, INC. (323)366-2882"
1/21/2015,ENV-2015-324-EAF,2405 E POMEROY AVE 90033,34.0536611,-118.2032378,14,Boyle Heights,NEW 81 QUEST ROOM HOTEL OVER PARKING.,EAF-ENVIRONMENTAL ASSESSMENT,CAMILLE ZEITOUNY (323)892-1168
1/21/2015,ZA-2015-323-CU-SPR,2405 E POMEROY AVE 90033,34.0536611,-118.2032378,14,Boyle Heights,NEW 81 QUEST ROOM HOTEL OVER PARKING.,CU-CONDITIONAL USE,CAMILLE ZEITOUNY (323)892-1168
1/16/2015,AA-2015-296-PMLA-SL,1338 N SYCAMORE AVE 90028,34.095453,-118.342458,4,Hollywood,SMALL-LOT SUBDIVISION - 4-LOT PARCEL MAP,PMLA-PARCEL MAP,HAYK MARTIROSIAN - TECHNA LAND CO. INC. (818)547-0543
1/16/2015,ENV-2015-297-CE,1338 N SYCAMORE AVE 90028,34.095453,-118.342458,4,Hollywood,SMALL-LOT SUBDIVISION - 4-LOT PARCEL MAP,CE-CATEGORICAL EXEMPTION,HAYK MARTIROSIAN - TECHNA LAND CO. INC. (818)547-0543
1/21/2015,AA-2015-321-PMEX,NONE NONE 47468,44.9400562,7.5299328,12,Chatsworth - Porter Ranch,THE ADJUSTMENT OF FOUR LOT LINES,PMEX-PARCEL MAP EXEMPTION,CHRISTOPHER J. PARKER (818)591-9309
1/21/2015,ENV-2015-319-CE,NONE NONE 47468,44.9400562,7.5299328,12,Chatsworth - Porter Ranch,THE ADJUSTMENT OF FOUR LOT LINES,CE-CATEGORICAL EXEMPTION,CHRISTOPHER J. PARKER (818)591-9309
1/16/2015,ZA-2015-287-CEX,13480 W MAXELLA AVE 90292,33.985111,-118.441029,11,Palms - Mar Vista - Del Rey,COASTAL EXEMPTION,CEX-COASTAL EXEMPTION,JACK WONKCHINDA (714)683-1120
1/22/2015,CHC-2015-354-HCM,215 W 7TH ST 90014,34.0448866,-118.2526,14,Central City,BARTLETT BUILDING HISTORIC-CULTURAL MONUMENT,HCM-HISTORIC CULTURAL MONUMENT,NELS YOUNGBORG (213)978-1192
1/22/2015,ENV-2015-355-CE,215 W 7TH ST 90014,34.0448866,-118.2526,14,Central City,BARTLETT BUILDING HISTORIC-CULTURAL MONUMENT,CE-CATEGORICAL EXEMPTION,NELS YOUNGBORG (213)978-1192
1/12/2015,DIR-2015-97-SPR,700 W 9TH ST 90015,34.0458128,-118.2615196,14,Central City,CONSTRUCTION OF 2-STORY MIXED USE TOWER.,SPR-SITE PLAN REVIEW,JIM RIES (310)838-2400
1/12/2015,ZA-2005-1673-ZV-ZAA-SPR-PA1-M1-PA1,900 S FIGUEROA ST 90015,34.0459027,-118.2628559,9,Central City,ZV-ZONE VARIANCE,()-,
1/13/2015,ZA-2015-238-MCUP,301 W OLYMPIC BLVD 90015,34.0416465,-118.2584553,14,Central City,"MASTER CONDITIONAL USE PERMIT FOR THE ON-SITE AND OFF-SITE SALES OF FULL-LINE ALCOHOL WITHIN A COMMERCIAL PORTION (12,400 SF.) AND OUTDOOR DINING AREA (2,340 SF.) WITHIN THE APPROVED PROJECT AREA.",MCUP-MASTER CONDITIONAL USE PERMIT,"JIM RIES - CRAIG LAWSON & CO, LLC (310)838-2400"
1/21/2015,CHC-2015-336-HCM,354 S SPRING ST 90013,34.0489665,-118.2478171,14,Central City,HELLMAN BUILDING HISTORIC-CULTURAL MONUMENT,HCM-HISTORIC CULTURAL MONUMENT,NELS YOUNGBORG (213)978-1192
1/21/2015,ENV-2015-337-CE,354 S SPRING ST 90013,34.0489665,-118.2478171,14,Central City,HELLMAN BUILDING HISTORIC-CULTURAL MONUMENT,CE-CATEGORICAL EXEMPTION,NELS YOUNGBORG (213)978-1192
1/14/2015,ENV-2015-251-EAF,1417 N AVENUE 45 90041,34.122563,-118.2186481,1,Northeast Los Angeles,VESTING TENTATIVE TRACT MAP(SMALL LOT),EAF-ENVIRONMENTAL ASSESSMENT,STEVE NAZEMI (714)665-6569
1/14/2015,VTT-73291-SL,1417 N AVENUE 45 90041,34.122563,-118.2186481,1,Northeast Los Angeles,VESTING TENTATIVE TRACT MAP(SMALL LOT),SL-SMALL LOT SUBDIVISION,STEVE NAZEMI (714)665-6569
1/20/2015,DIR-2015-309-SPPA-SPP,4470 W DE LONGPRE AVE 90027,34.096493,-118.287479,13,Hollywood,PROPOSED 654-SPACE PARKING STRUCTURE TO SUPPORT PARKING NEEDS OF CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER TO REPLACE (E) STORAGE AND PARKING,SPPA-SPECIFIC PLAN PROJECT PERMIT ADJUSTMENT,FRANCIS PARK (213)570-8000
1/20/2015,ENV-2015-310-EAF,4470 W DE LONGPRE AVE 90027,34.096493,-118.287479,13,Hollywood,PROPOSED 654-SPACE PARKING STRUCTURE TO SUPPORT PARKING NEEDS OF CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER TO REPLACE (E) STORAGE AND PARKING,EAF-ENVIRONMENTAL ASSESSMENT,FRANCIS PARK (213)570-8000
1/15/2015,DIR-2015-256-COA,17 S CHESTER PL 90007,34.0299265,-118.2785923,1,South Los Angeles,ADA AND LIFE SAFETY UPGRADES TO AN EXISTING OFFICE AND DAY CARE CENTER.,COA-CERTIFICATE OF APPROPRIATENESS,THOMAS MICHALI (323)841-5667
1/15/2015,ENV-2015-257-CE,17 S CHESTER PL 90007,34.0299265,-118.2785923,1,South Los Angeles,ADA AND LIFE SAFETY UPGRADES TO AN EXISTING OFFICE AND DAY CARE CENTER.,CE-CATEGORICAL EXEMPTION,THOMAS MICHALI (323)841-5667
1/21/2015,CHC-2015-327-HCM,2242 S HOBART BLVD 90018,34.03511,-118.307434,8,South Los Angeles,CHARLES I.D. MOORE RESIDENCE HISTORIC-CULTURAL MONUMENT,HCM-HISTORIC CULTURAL MONUMENT,NELS YOUNGBORG (213)978-1192
1/21/2015,ENV-2015-328-CE,2242 S HOBART BLVD 90018,34.03511,-118.307434,8,South Los Angeles,CHARLES I.D. MOORE RESIDENCE HISTORIC-CULTURAL MONUMENT,CE-CATEGORICAL EXEMPTION,NELS YOUNGBORG (213)978-1192
1/15/2015,ENV-2015-280-EAF,3401 S WESTERN AVE 90018,34.0252949,-118.309098,8,South Los Angeles,PROPOSED EXPANSION OF A CCOMMERCIAL CORNER DEVELOPMENT WITH A NEW AUTOMATIC CAR WASH WHILE MAINTAINING AN EXISTING SELF-SERVE CAR WASH ON A [Q]C2-1VL-O-HPOZ ZONED PROPERTY.,EAF-ENVIRONMENTAL ASSESSMENT,ANDREW PASZTERKO - GRFC ARCHITECTS (213)359-4860
1/15/2015,ZA-2015-279-CU,3401 S WESTERN AVE 90018,34.0252949,-118.309098,8,South Los Angeles,PROPOSED EXPANSION OF A CCOMMERCIAL CORNER DEVELOPMENT WITH A NEW AUTOMATIC CAR WASH WHILE MAINTAINING AN EXISTING SELF-SERVE CAR WASH ON A [Q]C2-1VL-O-HPOZ ZONED PROPERTY.,CU-CONDITIONAL USE,ANDREW PASZTERKO - GRFC ARCHITECTS (213)359-4860
1/14/2015,DIR-2015-242-RV,400 W CENTURY BLVD 90003,33.9453225,-118.2806586,8,Southeast Los Angeles,MAGIC CARPET MOTOR INN - POSSIBLE NUISANCE ABATEMENT PROCEEDINGS,RV-REVOCATION,ALETA JAMES (213)978-1368
1/14/2015,ENV-2015-243-CE,400 W CENTURY BLVD 90003,33.9453225,-118.2806586,8,Southeast Los Angeles,MAGIC CARPET MOTOR INN - POSSIBLE NUISANCE ABATEMENT PROCEEDINGS,CE-CATEGORICAL EXEMPTION,ALETA JAMES (213)978-1368
1/15/2015,DIR-2015-258-SPP,9939 LA CANADA WAY 91040,34.262236,-118.34867,7,Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon,"ADDITION OF A 2-CAR GARAGE AND STORAGE TO THE FIRST LEVEL AND 1,012 SF ADDITION TO THE 2ND FLOOR OF AN EXISTING ONE-FAMILY DWELING",SPP-SPECIFIC PLAN PROJECT PERMIT COMPLIANCE,ARTHUR ISRAELYAN (818)389-3888
1/15/2015,ENV-2015-259-CE,9939 LA CANADA WAY 91040,34.262236,-118.34867,7,Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon,"ADDITION OF A 2-CAR GARAGE AND STORAGE TO THE FIRST LEVEL AND 1,012 SF ADDITION TO THE 2ND FLOOR OF AN EXISTING ONE-FAMILY DWELING",CE-CATEGORICAL EXEMPTION,ARTHUR ISRAELYAN (818)389-3888
1/12/2015,DIR-2015-92-SPP,9855 W MCBROOM ST 91040,34.2634733,-118.3461096,7,Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon,"454 SF ADDITION ON A ONE-STORY SINGLE FAMILY DWELLING FOR A TOTAL OF 1,508 SF.",SPP-SPECIFIC PLAN PROJECT PERMIT COMPLIANCE,SAM YOUSSEFIAN (626)441-4904
1/12/2015,ENV-2015-93-CE,9855 W MCBROOM ST 91040,34.2634733,-118.3461096,7,Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon,"454 SF ADDITION ON A ONE-STORY SINGLE FAMILY DWELLING FOR A TOTAL OF 1,508 SF.",CE-CATEGORICAL EXEMPTION,SAM YOUSSEFIAN (626)441-4904
1/15/2015,DIR-2015-260-SPP,10600 N WHEATLAND AVE 91040,34.262482,-118.358227,7,Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon,REMODELING OF AND ADDITION OF 638 SQUARE FEET TO AN EXISTING ONE-STORY ONE-FAMILY DWELLING,SPP-SPECIFIC PLAN PROJECT PERMIT COMPLIANCE,DANIEL ZIESE (323)275-1340
1/15/2015,ENV-2015-261-CE,10600 N WHEATLAND AVE 91040,34.262482,-118.358227,7,Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon,REMODELING OF AND ADDITION OF 638 SQUARE FEET TO AN EXISTING ONE-STORY ONE-FAMILY DWELLING,CE-CATEGORICAL EXEMPTION,DANIEL ZIESE (323)275-1340
1/14/2015,DIR-2015-246-CDO,3155 W ESTARA AVE 90065,34.119271,-118.242183,13,Northeast Los Angeles,DEMOLITION OF EXISTING SFD AND CONSTRUCTION OF A NEW DUPLEX.,CDO-COMMUNITY DESIGN OVERLAY DISTRICT,ANDREW RAITT (562)438-9320
1/14/2015,ENV-2015-247-CE,3155 W ESTARA AVE 90065,34.119271,-118.242183,13,Northeast Los Angeles,DEMOLITION OF EXISTING SFD AND CONSTRUCTION OF A NEW DUPLEX.,CE-CATEGORICAL EXEMPTION,ANDREW RAITT (562)438-9320
1/23/2015,DIR-2015-371-CWC,17173 W LISETTE ST 91344,34.30256,-118.507362,12,Granada Hills - Knollwood,NEW SWIMMING POOL BEHIND RESIDENCE IN THE BALBOA-HIGHLANDS HPOZ.,CWC-CONFORMING WORK CONTRIBUTING ELEMENTS,JOHN LAMPLY - AMAZON POOLS (818)916-7231
1/22/2015,ENV-2015-345-CE,1805 W SUNSET BLVD 90026,34.07793,-118.2594705,13,Silver Lake - Echo Park - Elysian Valley,CONTINUED SALES OF BEER AND WINE IN CONJUNCTION WITH A BEER AND WINE BAR.,CE-CATEGORICAL EXEMPTION,EDDIE NAVARRETTE (213)687-6063
1/22/2015,ZA-2015-344-CUB,1805 W SUNSET BLVD 90026,34.07793,-118.2594705,13,Silver Lake - Echo Park - Elysian Valley,CONTINUED SALES OF BEER AND WINE IN CONJUNCTION WITH A BEER AND WINE BAR.,CUB-Conditional Use Beverage-Alcohol,EDDIE NAVARRETTE (213)687-6063
1/16/2015,ENV-2015-289-CE,1155 W TEMPLE ST 90012,34.064777,-118.252135,1,Silver Lake - Echo Park - Elysian Valley,CONTINUED TEMPORARY STORAGE OF VEHICLES IN CONJUNCTION WITH THE CONTINUED USE AND MAINTENANCE OF AN EXISTING OFFICIAL POLICE GARAGE IN A C1 ZONE.,CE-CATEGORICAL EXEMPTION,BRAD M. ROSENHEIM OR TRICIA ROBBINS KASSON (818)716-2689
1/16/2015,ZA-2015-288-ZV-ZAA,1155 W TEMPLE ST 90012,34.064777,-118.252135,1,Silver Lake - Echo Park - Elysian Valley,CONTINUED TEMPORARY STORAGE OF VEHICLES IN CONJUNCTION WITH THE CONTINUED USE AND MAINTENANCE OF AN EXISTING OFFICIAL POLICE GARAGE IN A C1 ZONE.,ZV-ZONE VARIANCE,BRAD M. ROSENHEIM OR TRICIA ROBBINS KASSON (818)716-2689
1/12/2015,DIR-2015-304-CWC,957 S 5TH AVE 90019,34.0545789,-118.319376,4,Wilshire,PURSUANT TO LAMC 12.20.3 I CONFORMING WORK ON CONTRIBUTING ELEMENTS IN THE WILSHIRE PARK HPOZ TO INSTALL A NEW DOOR AND ENTRY PORCH AT THE REAR OF THE RESIDENCE.,CWC-CONFORMING WORK CONTRIBUTING ELEMENTS,JULIA CHANG (213)978-1218
1/18/2015,DIR-2015-253-CWC,333 S LAS PALMAS AVE 90020,34.068002,-118.336126,4,Wilshire,PURSUANT TO LAMC 12.20.3 I CONFORMING WORK ON A CONTRIBUTING ELEMENT IN THE HANCOCK PARK HPOZ FOR IN-KIND REPLACEMENT OF DRIVEWAY ALONG THE SOUTH SIDE OF AN EXISTING TWO-STORY RESIDENCE.,CWC-CONFORMING WORK CONTRIBUTING ELEMENTS,TOM PEJIC (213)760-5519
1/22/2015,DIR-2015-356-CWC,434 S LORRAINE BLVD 90020,34.066051,-118.319539,4,Wilshire,IN-KIND DRIVEWAY AND DRIVEWAY APRON REPLACEMENT,CWC-CONFORMING WORK CONTRIBUTING ELEMENTS,JOSE (000)000-0000
1/23/2015,DIR-2015-377-COA,621 N MCCADDEN PL 90004,34.082595,-118.337738,4,Hollywood,ADDITION TO AN EXISTING SFD.,COA-CERTIFICATE OF APPROPRIATENESS,RYAN BAUTISTA (323)879-9439
1/23/2015,ENV-2015-378-CE,621 N MCCADDEN PL 90004,34.082595,-118.337738,4,Hollywood,ADDITION TO AN EXISTING SFD.,CE-CATEGORICAL EXEMPTION,RYAN BAUTISTA (323)879-9439
1/14/2015,DIR-2015-241-CWNC,226 S RIMPAU BLVD 90004,34.06994,-118.33067,4,Wilshire,"PURSUANT TO LAMC 12.20.3 J CONFORMING WORK ON A NON-CONTRIBUTING ELEMENT IN THE HANCOCK PARK HPOZ FOR A 1,104 SQUARE-FOOT ADDITION IN THE FRONT AND REAR OF THE EXISTING 4,668 SQUARE-FOOT NC RESIDENCE.",CWNC-CONFORMING WORK NON-CONTRIBUTING ELEMENTS,STEFFAN LIPOFSKY (323)445-2575
